flex1,flex2,flex3,flex4,flex5,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,label
0.0,541.0,487.0,2512.0,273.0,1224.0,-584.0,16420.0,55.0,-1121.0,-4804.0,am
0.0,544.0,486.0,2502.0,272.0,1696.0,1728.0,15872.0,-234.0,-428.0,-3436.0,am
0.0,543.0,485.0,2513.0,272.0,1464.0,2508.0,16492.0,-602.0,27.0,3828.0,am
0.0,544.0,489.0,2509.0,273.0,1380.0,-688.0,16304.0,-1784.0,589.0,3640.0,am
0.0,543.0,496.0,2498.0,286.0,984.0,-700.0,16548.0,108.0,-1227.0,-2767.0,am
0.0,549.0,496.0,2511.0,277.0,1600.0,1628.0,16192.0,-310.0,-1270.0,-3281.0,am
0.0,532.0,496.0,2512.0,286.0,2092.0,2772.0,16000.0,-502.0,-134.0,1218.0,am
0.0,557.0,491.0,2503.0,279.0,1208.0,812.0,15728.0,-2606.0,1104.0,4235.0,am
0.0,546.0,495.0,2518.0,287.0,940.0,-1640.0,16792.0,-562.0,-792.0,-1670.0,am
0.0,554.0,495.0,2511.0,270.0,1524.0,1308.0,16140.0,-115.0,-1524.0,-4138.0,am
0.0,542.0,495.0,2515.0,299.0,2256.0,2424.0,15476.0,-768.0,-264.0,1005.0,am
0.0,548.0,494.0,2513.0,261.0,1772.0,528.0,16056.0,-1833.0,602.0,4961.0,am
0.0,529.0,479.0,2508.0,290.0,1184.0,-2248.0,17016.0,-622.0,-408.0,-130.0,am
0.0,539.0,486.0,2511.0,294.0,1544.0,896.0,16180.0,-227.0,-1419.0,-5074.0,am
0.0,558.0,495.0,2511.0,291.0,1864.0,2152.0,16148.0,-268.0,-874.0,-1282.0,am
0.0,535.0,489.0,2515.0,269.0,1600.0,1340.0,16088.0,-1231.0,799.0,5956.0,am
0.0,543.0,497.0,2510.0,278.0,1024.0,-1932.0,16812.0,-1079.0,331.0,1725.0,am
0.0,543.0,495.0,2499.0,258.0,1336.0,-1092.0,16268.0,-455.0,-1299.0,-5068.0,am
0.0,529.0,493.0,2515.0,271.0,1828.0,1804.0,15952.0,442.0,-1293.0,-3541.0,am
0.0,551.0,494.0,2494.0,291.0,1884.0,2020.0,16528.0,-880.0,262.0,3355.0,am
0.0,543.0,502.0,2512.0,269.0,1148.0,-1228.0,16376.0,-1491.0,1387.0,4688.0,am
0.0,530.0,493.0,2503.0,272.0,812.0,-1392.0,16696.0,-273.0,-986.0,-2154.0,am
0.0,542.0,484.0,2502.0,272.0,1248.0,788.0,16608.0,125.0,-1047.0,-5530.0,am
0.0,549.0,493.0,2507.0,271.0,1680.0,3096.0,15696.0,-536.0,-92.0,2174.0,am
0.0,539.0,488.0,2506.0,271.0,1296.0,428.0,15964.0,-1068.0,672.0,5501.0,am
0.0,543.0,497.0,2517.0,291.0,704.0,-2548.0,17172.0,-508.0,-641.0,-604.0,am
0.0,544.0,491.0,2516.0,283.0,940.0,160.0,16220.0,463.0,-1434.0,-5044.0,am
0.0,537.0,496.0,2499.0,272.0,1396.0,2040.0,16236.0,-491.0,-1122.0,-1968.0,am
0.0,528.0,487.0,2507.0,283.0,1456.0,868.0,16004.0,-2643.0,808.0,5126.0,am
0.0,542.0,490.0,2503.0,266.0,640.0,-1412.0,16612.0,-1559.0,462.0,3368.0,am
0.0,526.0,486.0,2514.0,272.0,924.0,-1416.0,16348.0,-61.0,-907.0,-4018.0,am
0.0,528.0,483.0,2514.0,288.0,1284.0,908.0,16044.0,-166.0,-1609.0,-4798.0,am
0.0,528.0,487.0,2513.0,274.0,1420.0,1240.0,16320.0,-415.0,-419.0,3519.0,am
0.0,539.0,493.0,2512.0,287.0,1148.0,-688.0,16384.0,-1821.0,1269.0,5801.0,am
0.0,530.0,490.0,2525.0,287.0,520.0,-2736.0,16820.0,-530.0,-387.0,-570.0,am
0.0,525.0,485.0,2513.0,275.0,1128.0,-572.0,16332.0,389.0,-1004.0,-5058.0,am
0.0,0.0,266.0,2495.0,217.0,14712.0,1528.0,8124.0,-493.0,-421.0,10.0,y
0.0,0.0,272.0,2502.0,240.0,14620.0,1588.0,8332.0,-1050.0,-547.0,-60.0,y
0.0,0.0,272.0,2510.0,260.0,14452.0,1820.0,8396.0,-498.0,-462.0,-38.0,y
0.0,0.0,272.0,2496.0,248.0,14600.0,1556.0,8544.0,-890.0,-426.0,-43.0,y
0.0,0.0,271.0,2515.0,235.0,14460.0,1576.0,8292.0,-798.0,-331.0,-46.0,y
0.0,0.0,279.0,2507.0,247.0,14476.0,1580.0,8632.0,-368.0,-594.0,52.0,y
0.0,0.0,284.0,2507.0,269.0,14340.0,1196.0,8636.0,-1247.0,-391.0,-174.0,y
0.0,0.0,251.0,2493.0,249.0,14528.0,1784.0,8512.0,-906.0,-493.0,-192.0,y
0.0,0.0,259.0,2503.0,269.0,14628.0,1716.0,8436.0,-791.0,-189.0,150.0,y
0.0,0.0,275.0,2511.0,253.0,14516.0,1740.0,8412.0,-418.0,-439.0,139.0,y
0.0,0.0,262.0,2505.0,270.0,14632.0,1600.0,8432.0,-579.0,-475.0,-17.0,y
0.0,0.0,275.0,2502.0,262.0,14308.0,1684.0,8596.0,-556.0,-514.0,47.0,y
0.0,0.0,276.0,2514.0,241.0,14464.0,1452.0,8308.0,-947.0,-224.0,94.0,y
0.0,0.0,282.0,2502.0,264.0,14488.0,1804.0,8524.0,-633.0,-456.0,42.0,y
0.0,0.0,295.0,2507.0,240.0,14716.0,1284.0,8432.0,-1236.0,-279.0,-111.0,y
0.0,0.0,289.0,2506.0,254.0,14632.0,1664.0,8428.0,-974.0,-356.0,-35.0,y
5.0,0.0,273.0,2509.0,273.0,14580.0,1256.0,8324.0,-815.0,-11.0,179.0,y
0.0,0.0,281.0,2515.0,245.0,14552.0,1296.0,8696.0,-956.0,-415.0,-122.0,y
0.0,0.0,282.0,2509.0,229.0,14140.0,1360.0,8580.0,-416.0,-392.0,123.0,y
0.0,0.0,284.0,2553.0,255.0,14460.0,1392.0,8544.0,-711.0,-157.0,302.0,y
0.0,0.0,298.0,2501.0,255.0,14300.0,1576.0,8472.0,-508.0,-274.0,-16.0,y
0.0,0.0,283.0,2511.0,240.0,14236.0,1428.0,8664.0,-668.0,-193.0,147.0,y
0.0,0.0,288.0,2516.0,258.0,14524.0,1552.0,8504.0,-904.0,-354.0,91.0,y
0.0,0.0,296.0,2502.0,246.0,14288.0,1340.0,8460.0,-910.0,12.0,253.0,y
0.0,0.0,299.0,2521.0,257.0,14256.0,1324.0,8788.0,-794.0,-502.0,-210.0,y
0.0,0.0,280.0,2523.0,262.0,14436.0,1216.0,9036.0,-907.0,-244.0,-132.0,y
0.0,0.0,289.0,2496.0,265.0,14304.0,1052.0,8776.0,-975.0,-76.0,13.0,y
0.0,0.0,295.0,2492.0,251.0,14524.0,1316.0,8812.0,-798.0,-300.0,53.0,y
0.0,0.0,302.0,2515.0,257.0,14080.0,1128.0,8828.0,-493.0,-124.0,278.0,y
7.0,0.0,278.0,2514.0,240.0,14368.0,1096.0,8840.0,-718.0,-177.0,161.0,y
9.0,0.0,304.0,2497.0,242.0,14168.0,1276.0,9008.0,-669.0,-410.0,-6.0,y
0.0,0.0,295.0,2519.0,257.0,14148.0,1244.0,9200.0,-470.0,-529.0,45.0,y
0.0,0.0,293.0,2506.0,223.0,14264.0,1244.0,8912.0,-670.0,-149.0,69.0,y
0.0,0.0,295.0,2528.0,240.0,14120.0,1228.0,8980.0,-705.0,-210.0,21.0,y
0.0,0.0,293.0,2510.0,253.0,14120.0,1044.0,9252.0,-1358.0,-276.0,-43.0,y
1.0,0.0,311.0,2507.0,256.0,14092.0,984.0,9096.0,-856.0,-354.0,-40.0,y
5.0,0.0,295.0,2531.0,256.0,14080.0,1292.0,9400.0,-843.0,-497.0,-89.0,y
0.0,0.0,304.0,2526.0,259.0,13948.0,1104.0,9324.0,-949.0,-216.0,-55.0,y
0.0,0.0,298.0,2507.0,249.0,14108.0,1044.0,9216.0,-477.0,-160.0,158.0,y
0.0,0.0,302.0,2512.0,257.0,13836.0,1204.0,9316.0,-557.0,-475.0,96.0,y
0.0,0.0,295.0,2512.0,257.0,14068.0,900.0,9148.0,-647.0,-358.0,64.0,y
0.0,0.0,294.0,2502.0,247.0,13860.0,1324.0,9056.0,-870.0,-412.0,-21.0,y
3.0,0.0,304.0,2523.0,272.0,13936.0,1144.0,9316.0,-698.0,-284.0,97.0,y
